a,b,n,acc_a,acc_b,delta,delta_lo,delta_hi,delta_str,mcnemar_b01,mcnemar_b10,mcnemar_p,significant_at_0.05
maj,stateless,80,0.6375,0.65,-0.0125,-0.075,0.05,"-0.013 [-0.075, +0.050]",4,3,1.0,False
mcts_judge,stateless,80,0.625,0.65,-0.025,-0.15,0.1,"-0.025 [-0.150, +0.100]",15,13,0.8505540192127228,False
mcts_judge_memory,stateless,80,0.6875,0.65,0.0375,-0.05,0.125,"+0.037 [-0.050, +0.125]",5,8,0.5810546875,False
mcts_judge_memory,maj,80,0.6875,0.6375,0.05,-0.05,0.15,"+0.050 [-0.050, +0.150]",6,10,0.454498291015625,False
mcts_judge_memory,mcts_judge,80,0.6875,0.625,0.0625,-0.0625,0.1875,"+0.062 [-0.062, +0.188]",10,15,0.42435622215270996,False
maj_oracle,maj,80,0.5625,0.6375,-0.075,-0.15,-0.0125,"-0.075 [-0.150, -0.013]",7,1,0.0703125,False
mcts_judge_memory_oracle,mcts_judge_memory,80,0.7,0.6875,0.0125,-0.1,0.125,"+0.013 [-0.100, +0.125]",11,12,1.0,False
maj_poison_10,maj_oracle,80,0.55,0.5625,-0.0125,-0.0625,0.025,"-0.013 [-0.062, +0.025]",2,1,1.0,False
maj_poison_50,maj_oracle,80,0.5875,0.5625,0.025,-0.0375,0.0875,"+0.025 [-0.037, +0.087]",2,4,0.6875,False
mcts_mem_poison_10,mcts_judge_memory_oracle,80,0.45,0.7,-0.25,-0.375,-0.125,"-0.250 [-0.375, -0.125]",26,6,0.0005350527353584766,True
mcts_mem_poison_50,mcts_judge_memory_oracle,80,0.2125,0.7,-0.4875,-0.6125,-0.35,"-0.487 [-0.613, -0.350]",43,4,2.781192165457469e-09,True
defense_on,defense_off,80,0.65,0.6875,-0.0375,-0.1125,0.05,"-0.037 [-0.113, +0.050]",7,4,0.548828125,False
